#mini_malloc_hole_v2,unit=byte,pid=12577,interval_seconds=1,size_classes=8|16|24|32|40|48|56|64|80|96|112|128|144|176|208|256|304|352|384|432|496|560|656|784|992|1312|1984|3968|4K+
start_ns,end_ns,period_alloc,total_alloc,period_measured,total_measured,period_requested,total_requested,period_hole,total_hole,period_failed,total_failed,period_measure_error,total_measure_error,count_8,hole_8,count_16,hole_16,count_24,hole_24,count_32,hole_32,count_40,hole_40,count_48,hole_48,count_56,hole_56,count_64,hole_64,count_80,hole_80,count_96,hole_96,count_112,hole_112,count_128,hole_128,count_144,hole_144,count_176,hole_176,count_208,hole_208,count_256,hole_256,count_304,hole_304,count_352,hole_352,count_384,hole_384,count_432,hole_432,count_496,hole_496,count_560,hole_560,count_656,hole_656,count_784,hole_784,count_992,hole_992,count_1312,hole_1312,count_1984,hole_1984,count_3968,hole_3968,count_4K_plus,hole_4K_plus
1785113066291523066,1785113067291953980,13568674,13568674,13568674,13568674,10937743480,10937743480,428197680,428197680,0,0,0,0,2398793,0,2400299,0,0,0,2403855,0,0,0,0,0,0,0,2406182,0,0,0,0,0,0,0,2403762,0,0,0,0,0,0,0,640340,0,147,2352,0,0,0,0,0,0,0,0,642534,30841632,0,0,0,0,42300,8121600,1,288,42470,16308480,44143,33901824,143848,339021504
1785113067291953980,1785113068292044909,8032150,21600824,8032150,21600824,6407076792,17344820272,252173552,680371232,0,0,0,0,1425355,0,1425792,0,0,0,1428326,0,0,0,0,0,0,0,1429065,0,0,0,0,0,0,0,1427850,0,0,0,0,0,0,0,366400,0,77,1232,0,0,0,0,0,0,0,0,368026,17665248,0,0,0,0,25080,4815360,0,0,25170,9665280,26197,20119296,84812,199907136
1785113068292044909,1785113068874696221,61,21600885,61,21600885,2704,17344822976,0,680371232,0,0,0,0,12,0,9,0,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
